DEC d+X DirectPageIndexedbyX 2 9B
DEC A Accumulator 1 9C
MOV X,SP Impliedtype1 1 9D
DIV YA,X Impliedtype1 1 9E
XCN A Accumulator 1 9F
EI  Impliedtype2 1 A0
TCALL 10 Impliedtype3 1 A1
SET1 d.5 DirectPageBit 2 A2
BBS d.5,r DirectPageBitRelative 3 A3
SBC A,d DirectPage 2 A4
SBC A,!a Absolute 3 A5
SBC A,(X) ImpliedIndirecttype1 1 A6
SBC A,[d+X] DirectPageIndexedbyX 2 A7
SBC A,#i Immediate 2 A8
SBC dd,ds DirectPage 3 A9
MOV1 C,m.b AbsoluteBooleanBit 3 AA
INC d DirectPage 2 AB
INC !a Absolute 3 AC
CMP Y,#i Immediate 2 AD
POP A Accumulator 1 AE
MOV (X)+,A Impliedtype1 1 AF
BCS r ProgramCounterRelative 2 B0
TCALL 11 Impliedtype3 1 B1
CLR1 d.5 DirectPageBit 2 B2
BBC d.5,r DirectPageBitRelative 3 B3
SBC A,d+X DirectPageIndexedbyX 2 B4
SBC A,!a+X AbsoluteIndexedbyX 3 B5
SBC A,!a+Y AbsoluteIndexedbyY 3 B6
SBC A,[d]+Y DirectPageIndirectIndexedbyY 2 B7
SBC d,#i DirectPageImmediate 3 B8
SBC (X),(Y) ImpliedIndirecttype1 1 B9
MOVW YA,d DirectPage 2 BA
INC d+X DirectPageIndexedbyX 2 BB
INC A Accumulator 1 BC
MOV SP,X Impliedtype1 1 BD
DAS A Accumulator 1 BE
MOV A,(X)+ Impliedtype1 1 BF
DI  Impliedtype2 1 C0
TCALL 12 Impliedtype3 1 C1
SET1 d.6 DirectPageBit 2 C2
BBS d.6,r DirectPageBitRelative 3 C3
MOV d,A DirectPage 2 C4
MOV !a,A Absolute 3 C5
MOV (X),A Impliedtype1 1 C6
MOV [d+X],A DirectPageIndexedIndirectbyX 2 C7
CMP X,#i Immediate 2 C8
MOV !a,X Absolute 3 C9
MOV1 m.b,C AbsoluteBooleanBit 3 CA
MOV d,Y DirectPage 2 CB
MOV !a,Y Absolute 3 CC
MOV X,#i Immediate 2 CD
POP X StackX 1 CE
MUL YA Impliedtype1 1 CF
BNE r ProgramCounterRelative 2 D0
TCALL 13 Impliedtype3 1 D1
CLR1 d.6 DirectPageBit 2 D2
BBC d.6,r DirectPageBitRelative 3 D3
MOV d+X,A DirectPageIndexedbyX 2 D4
MOV !a+X,A AbsoluteIndexedbyX 3 D5
MOV !a+Y,A AbsoluteIndexedbyY 3 D6
MOV [d]+Y,A DirectPageIndirectIndexedbyY 2 D7
MOV d,X DirectPage 2 D8
MOV d+Y,X DirectPageIndexedbyY 2 D9
MOVW d,YA DirectPage 2 DA
MOV d+X,Y DirectPageIndexedbyX 2 DB
DEC Y Impliedtype1 1 DC
MOV A,Y Impliedtype1 1 DD
CBNE d+X,r DirectPageIndexedbyXProgramCounterRelative 3 DE
DAA A Accumulator 1 DF
CLRV  Impliedtype2 1 E0
TCALL 14 Impliedtype3 1 E1
SET1 d.7 DirectPageBit 2 E2
BBS d.7,r DirectPageBitRelative 3 E3
MOV A,d DirectPage 2 E4
MOV A,!a Absolute 3 E5
MOV A,(X) Impliedtype1 1 E6
MOV A,[d+X] DirectPageIndexedIndirectbyX 2 E7
MOV A,#i Immediate 2 E8
MOV X,!a Absolute 3 E9
NOT1 m.b AbsoluteBooleanBit 3 EA
MOV Y,d DirectPage 2 EB
MOV Y,!a Absolute 3 EC
NOTC  Impliedtype2 1 ED
POP Y StackY 1 EE
SLEEP  Impliedtype3 1 EF
BEQ r ProgramCounterRelative 2 F0
TCALL 15 Impliedtype3 1 F1
CLR1 d.7 DirectPageBit 2 F2
BBC d.7,r DirectPageBitRelative 3 F3
MOV A,d+X DirectPageIndexedbyX 2 F4
MOV A,!a+X AbsoluteIndexedbyX 3 F5
MOV A,!a+Y AbsoluteIndexedbyY 3 F6
MOV A,[d]+Y DirectPageIndirectIndexedbyY 2 F7
MOV X,d DirectPage 2 F8
MOV X,d+Y DirectPageIndexedbyY 2 F9
MOV dd,ds DirectPage 3 FA
MOV Y,d+X DirectPageIndexedbyX 2 FB
INC Y Impliedtype1 1 FC
MOV Y,A Impliedtype1 1 FD
DBNZ Y,r Impliedtype1ProgramCounterRelative 2 FE
STOP  Impliedtype3 1 FF
